priceDate,itemName,state,mandiName,arrivals,unitArrivals,variety,minPrice,maxPrice,modalPrice,priceUnit
2005-04-11,Potato,NCT of Delhi,Azadpur,106,Tonnes,F.A.Q.,300,663,475,Rs/Quintal
2005-04-12,Potato,NCT of Delhi,Azadpur,1745,Tonnes,F.A.Q.,325,688,500,Rs/Quintal
2005-04-13,Potato,NCT of Delhi,Azadpur,1233,Tonnes,F.A.Q.,300,688,488,Rs/Quintal
2005-04-16,Potato,NCT of Delhi,Azadpur,1654,Tonnes,F.A.Q.,350,650,475,Rs/Quintal
2005-04-18,Potato,NCT of Delhi,Azadpur,26,Tonnes,F.A.Q.,350,650,475,Rs/Quintal
2005-04-19,Potato,NCT of Delhi,Azadpur,1436,Tonnes,F.A.Q.,313,675,475,Rs/Quintal
2005-04-20,Potato,NCT of Delhi,Azadpur,1374,Tonnes,F.A.Q.,344,688,450,Rs/Quintal
2005-04-21,Potato,NCT of Delhi,Azadpur,1530,Tonnes,F.A.Q.,350,688,450,Rs/Quintal
2005-04-22,Potato,NCT of Delhi,Azadpur,1300,Tonnes,F.A.Q.,350,675,475,Rs/Quintal
2005-04-23,Potato,NCT of Delhi,Azadpur,1974,Tonnes,F.A.Q.,350,675,450,Rs/Quintal
2005-04-25,Potato,NCT of Delhi,Azadpur,91,Tonnes,F.A.Q.,350,700,469,Rs/Quintal
2005-04-26,Potato,NCT of Delhi,Azadpur,1653,Tonnes,F.A.Q.,350,688,469,Rs/Quintal
2005-04-27,Potato,NCT of Delhi,Azadpur,1260,Tonnes,F.A.Q.,375,688,438,Rs/Quintal
2005-04-28,Potato,NCT of Delhi,Azadpur,1192,Tonnes,F.A.Q.,350,700,438,Rs/Quintal
2005-04-29,Potato,NCT of Delhi,Azadpur,1280,Tonnes,F.A.Q.,350,700,438,Rs/Quintal
2005-04-30,Potato,NCT of Delhi,Azadpur,1359,Tonnes,F.A.Q.,350,713,475,Rs/Quintal
2005-05-02,Potato,NCT of Delhi,Azadpur,127,Tonnes,F.A.Q.,350,713,475,Rs/Quintal
2005-05-03,Potato,NCT of Delhi,Azadpur,1615,Tonnes,F.A.Q.,350,700,500,Rs/Quintal
2005-05-04,Potato,NCT of Delhi,Azadpur,1435,Tonnes,F.A.Q.,350,700,500,Rs/Quintal
2005-05-05,Potato,NCT of Delhi,Azadpur,1597,Tonnes,F.A.Q.,350,700,500,Rs/Quintal
2005-05-06,Potato,NCT of Delhi,Azadpur,1287,Tonnes,F.A.Q.,350,700,475,Rs/Quintal
2005-05-07,Potato,NCT of Delhi,Azadpur,1470,Tonnes,F.A.Q.,338,700,475,Rs/Quintal
2005-05-09,Potato,NCT of Delhi,Azadpur,113,Tonnes,F.A.Q.,338,688,450,Rs/Quintal
2005-05-10,Potato,NCT of Delhi,Azadpur,1759,Tonnes,F.A.Q.,375,688,475,Rs/Quintal
2005-05-11,Potato,NCT of Delhi,Azadpur,1324,Tonnes,F.A.Q.,325,688,475,Rs/Quintal
2005-05-12,Potato,NCT of Delhi,Azadpur,1241,Tonnes,F.A.Q.,438,750,475,Rs/Quintal
2005-05-13,Potato,NCT of Delhi,Azadpur,1386,Tonnes,F.A.Q.,438,750,500,Rs/Quintal
2005-05-14,Potato,NCT of Delhi,Azadpur,1506,Tonnes,F.A.Q.,438,750,500,Rs/Quintal
2005-05-16,Potato,NCT of Delhi,Azadpur,111,Tonnes,F.A.Q.,438,750,500,Rs/Quintal
2005-05-17,Potato,NCT of Delhi,Azadpur,1528,Tonnes,F.A.Q.,438,750,475,Rs/Quintal
2005-05-18,Potato,NCT of Delhi,Azadpur,1297,Tonnes,F.A.Q.,438,750,500,Rs/Quintal
2005-05-19,Potato,NCT of Delhi,Azadpur,1611,Tonnes,F.A.Q.,425,688,500,Rs/Quintal
2005-05-20,Potato,NCT of Delhi,Azadpur,1183,Tonnes,F.A.Q.,425,700,500,Rs/Quintal
2005-05-23,Potato,NCT of Delhi,Azadpur,18,Tonnes,F.A.Q.,425,700,500,Rs/Quintal
2005-05-24,Potato,NCT of Delhi,Azadpur,1432,Tonnes,F.A.Q.,425,750,625,Rs/Quintal
2005-05-26,Potato,NCT of Delhi,Azadpur,1571,Tonnes,F.A.Q.,406,750,500,Rs/Quintal
2005-05-27,Potato,NCT of Delhi,Azadpur,1012,Tonnes,F.A.Q.,406,750,625,Rs/Quintal
2005-05-28,Potato,NCT of Delhi,Azadpur,1148,Tonnes,F.A.Q.,406,750,625,Rs/Quintal
2005-05-30,Potato,NCT of Delhi,Azadpur,97,Tonnes,F.A.Q.,400,750,638,Rs/Quintal
2005-05-31,Potato,NCT of Delhi,Azadpur,1340,Tonnes,F.A.Q.,400,750,519,Rs/Quintal
2005-06-01,Potato,NCT of Delhi,Azadpur,1102,Tonnes,F.A.Q.,400,775,525,Rs/Quintal
2005-06-03,Potato,NCT of Delhi,Azadpur,951,Tonnes,F.A.Q.,413,788,763,Rs/Quintal
2005-06-04,Potato,NCT of Delhi,Azadpur,1004,Tonnes,F.A.Q.,400,788,688,Rs/Quintal
2005-06-27,Potato,NCT of Delhi,Azadpur,29,Tonnes,Potato,425,875,781,Rs/Quintal
2005-06-28,Potato,NCT of Delhi,Azadpur,1199,Tonnes,Potato,425,875,625,Rs/Quintal
2005-06-29,Potato,NCT of Delhi,Azadpur,791,Tonnes,Potato,425,875,650,Rs/Quintal
2005-06-30,Potato,NCT of Delhi,Azadpur,1037,Tonnes,Potato,425,850,650,Rs/Quintal
2005-07-01,Potato,NCT of Delhi,Azadpur,1258,Tonnes,Potato,425,850,500,Rs/Quintal
2005-07-02,Potato,NCT of Delhi,Azadpur,553,Tonnes,Potato,425,938,719,Rs/Quintal
2005-07-04,Potato,NCT of Delhi,Azadpur,168,Tonnes,Potato,425,1000,750,Rs/Quintal
2005-07-05,Potato,NCT of Delhi,Azadpur,1734,Tonnes,Potato,375,938,731,Rs/Quintal
2005-07-06,Potato,NCT of Delhi,Azadpur,1098,Tonnes,Potato,425,1000,800,Rs/Quintal
2005-07-07,Potato,NCT of Delhi,Azadpur,1343,Tonnes,Potato,406,1063,938,Rs/Quintal
2005-07-08,Potato,NCT of Delhi,Azadpur,1238,Tonnes,Potato,375,1063,800,Rs/Quintal
2005-07-09,Potato,NCT of Delhi,Azadpur,1303,Tonnes,Potato,375,1075,469,Rs/Quintal
2005-07-11,Potato,NCT of Delhi,Azadpur,194,Tonnes,Potato,375,1063,794,Rs/Quintal
2005-07-12,Potato,NCT of Delhi,Azadpur,1808,Tonnes,Potato,375,1000,750,Rs/Quintal
2005-07-13,Potato,NCT of Delhi,Azadpur,590,Tonnes,Potato,375,1000,750,Rs/Quintal
2005-07-14,Potato,NCT of Delhi,Azadpur,994,Tonnes,Potato,425,938,688,Rs/Quintal
2005-07-15,Potato,NCT of Delhi,Azadpur,1263,Tonnes,Potato,425,950,688,Rs/Quintal
2005-07-16,Potato,NCT of Delhi,Azadpur,1324,Tonnes,Potato,438,1063,706,Rs/Quintal
2005-07-18,Potato,NCT of Delhi,Azadpur,324,Tonnes,Potato,438,1125,813,Rs/Quintal
2005-07-19,Potato,NCT of Delhi,Azadpur,1630,Tonnes,Potato,438,1150,813,Rs/Quintal
2005-07-20,Potato,NCT of Delhi,Azadpur,1057,Tonnes,Potato,400,1150,875,Rs/Quintal
2005-07-21,Potato,NCT of Delhi,Azadpur,1363,Tonnes,Potato,400,1188,750,Rs/Quintal
2005-07-23,Potato,NCT of Delhi,Azadpur,1505,Tonnes,Potato,400,1063,750,Rs/Quintal
2005-07-25,Potato,NCT of Delhi,Azadpur,156,Tonnes,Potato,400,1063,725,Rs/Quintal
2005-07-26,Potato,NCT of Delhi,Azadpur,1659,Tonnes,Potato,375,1125,875,Rs/Quintal
2005-07-27,Potato,NCT of Delhi,Azadpur,1256,Tonnes,Potato,375,1125,875,Rs/Quintal
2005-07-28,Potato,NCT of Delhi,Azadpur,1208,Tonnes,Potato,375,1125,875,Rs/Quintal
2005-07-29,Potato,NCT of Delhi,Azadpur,1002,Tonnes,Potato,375,1188,1000,Rs/Quintal
2005-07-30,Potato,NCT of Delhi,Azadpur,1181,Tonnes,Potato,375,1063,938,Rs/Quintal
2005-08-01,Potato,NCT of Delhi,Azadpur,1526,Tonnes,Potato,438,1125,750,Rs/Quintal
2005-08-02,Potato,NCT of Delhi,Azadpur,1421,Tonnes,Potato,375,1125,719,Rs/Quintal
2005-08-03,Potato,NCT of Delhi,Azadpur,NULL,Tonnes,Potato,375,1125,925,Rs/Quintal
2005-08-04,Potato,NCT of Delhi,Azadpur,1234,Tonnes,Potato,375,1063,781,Rs/Quintal
2005-08-05,Potato,NCT of Delhi,Azadpur,1431,Tonnes,Potato,375,1125,938,Rs/Quintal
2005-08-06,Potato,NCT of Delhi,Azadpur,1573,Tonnes,Potato,375,1063,894,Rs/Quintal
2005-08-08,Potato,NCT of Delhi,Azadpur,444,Tonnes,Potato,313,1125,656,Rs/Quintal
2005-08-09,Potato,NCT of Delhi,Azadpur,1409,Tonnes,Potato,313,1125,894,Rs/Quintal
2005-08-11,Potato,NCT of Delhi,Azadpur,1296,Tonnes,Potato,400,1075,688,Rs/Quintal
2005-08-12,Potato,NCT of Delhi,Azadpur,1725,Tonnes,Potato,375,1063,875,Rs/Quintal
2005-08-13,Potato,NCT of Delhi,Azadpur,1585,Tonnes,Potato,400,1063,938,Rs/Quintal
2005-08-16,Potato,NCT of Delhi,Azadpur,641,Tonnes,Potato,425,1000,938,Rs/Quintal
2005-08-17,Potato,NCT of Delhi,Azadpur,2079,Tonnes,Potato,425,1000,719,Rs/Quintal
2005-08-18,Potato,NCT of Delhi,Azadpur,1409,Tonnes,Potato,425,1000,719,Rs/Quintal
2005-08-19,Potato,NCT of Delhi,Azadpur,1330,Tonnes,Potato,425,1000,750,Rs/Quintal
2005-08-22,Potato,NCT of Delhi,Azadpur,406,Tonnes,Potato,313,900,700,Rs/Quintal
2005-08-23,Potato,NCT of Delhi,Azadpur,1431,Tonnes,Potato,425,975,700,Rs/Quintal
2005-08-24,Potato,NCT of Delhi,Azadpur,1411,Tonnes,Potato,375,938,700,Rs/Quintal
2005-08-25,Potato,NCT of Delhi,Azadpur,1689,Tonnes,Potato,425,938,750,Rs/Quintal
2005-08-26,Potato,NCT of Delhi,Azadpur,1586,Tonnes,Potato,425,938,700,Rs/Quintal
2005-08-27,Potato,NCT of Delhi,Azadpur,1586,Tonnes,Potato,425,925,719,Rs/Quintal
2005-08-29,Potato,NCT of Delhi,Azadpur,485,Tonnes,Potato,425,925,850,Rs/Quintal
2005-08-30,Potato,NCT of Delhi,Azadpur,1545,Tonnes,Potato,425,925,719,Rs/Quintal
2005-08-31,Potato,NCT of Delhi,Azadpur,1588,Tonnes,Potato,400,950,719,Rs/Quintal
2005-09-01,Potato,NCT of Delhi,Azadpur,1304,Tonnes,Potato,375,975,681,Rs/Quintal
2005-09-02,Potato,NCT of Delhi,Azadpur,1374,Tonnes,Potato,375,1063,781,Rs/Quintal
2005-09-03,Potato,NCT of Delhi,Azadpur,1768,Tonnes,Potato,375,1063,694,Rs/Quintal
2005-09-05,Potato,NCT of Delhi,Azadpur,5650,Tonnes,Potato,400,938,594,Rs/Quintal
2005-09-06,Potato,NCT of Delhi,Azadpur,1583,Tonnes,Potato,400,950,713,Rs/Quintal
2005-09-07,Potato,NCT of Delhi,Azadpur,1388,Tonnes,Potato,388,906,575,Rs/Quintal
2005-09-08,Potato,NCT of Delhi,Azadpur,1359,Tonnes,Potato,375,900,719,Rs/Quintal
2005-09-09,Potato,NCT of Delhi,Azadpur,1141,Tonnes,Potato,375,900,725,Rs/Quintal
2005-09-10,Potato,NCT of Delhi,Azadpur,1295,Tonnes,Potato,375,875,563,Rs/Quintal
2005-09-12,Potato,NCT of Delhi,Azadpur,333,Tonnes,Potato,400,950,625,Rs/Quintal
2005-09-13,Potato,NCT of Delhi,Azadpur,1369,Tonnes,Potato,400,938,800,Rs/Quintal
2005-09-14,Potato,NCT of Delhi,Azadpur,1318,Tonnes,Potato,375,938,625,Rs/Quintal
2005-09-15,Potato,NCT of Delhi,Azadpur,1259,Tonnes,Potato,375,938,675,Rs/Quintal
2005-09-16,Potato,NCT of Delhi,Azadpur,1465,Tonnes,Potato,363,1000,963,Rs/Quintal
2005-09-17,Potato,NCT of Delhi,Azadpur,1307,Tonnes,Potato,363,1000,700,Rs/Quintal
2005-09-19,Potato,NCT of Delhi,Azadpur,494,Tonnes,Potato,375,1000,700,Rs/Quintal
2005-09-20,Potato,NCT of Delhi,Azadpur,1416,Tonnes,Potato,375,1063,750,Rs/Quintal
2005-09-21,Potato,NCT of Delhi,Azadpur,1435,Tonnes,Potato,438,1063,750,Rs/Quintal
2005-09-22,Potato,NCT of Delhi,Azadpur,2003,Tonnes,Potato,438,1063,750,Rs/Quintal
2005-09-23,Potato,NCT of Delhi,Azadpur,1711,Tonnes,Potato,438,1063,750,Rs/Quintal
2005-09-24,Potato,NCT of Delhi,Azadpur,1603,Tonnes,Potato,425,1063,750,Rs/Quintal
2005-09-26,Potato,NCT of Delhi,Azadpur,356,Tonnes,Potato,425,1063,750,Rs/Quintal
2005-09-27,Potato,NCT of Delhi,Azadpur,1416,Tonnes,Potato,438,1125,800,Rs/Quintal
2005-09-28,Potato,NCT of Delhi,Azadpur,1611,Tonnes,Potato,438,1125,800,Rs/Quintal
2005-09-29,Potato,NCT of Delhi,Azadpur,1540,Tonnes,Potato,438,1125,750,Rs/Quintal
2005-09-30,Potato,NCT of Delhi,Azadpur,1667,Tonnes,Potato,438,1125,750,Rs/Quintal
2005-10-01,Potato,NCT of Delhi,Azadpur,1526,Tonnes,Potato,438,1125,750,Rs/Quintal
2005-10-03,Potato,NCT of Delhi,Azadpur,573,Tonnes,Potato,450,1188,900,Rs/Quintal
2005-10-04,Potato,NCT of Delhi,Azadpur,2280,Tonnes,Potato,450,1188,825,Rs/Quintal
2005-10-05,Potato,NCT of Delhi,Azadpur,1949,Tonnes,Potato,450,1250,825,Rs/Quintal
2005-10-06,Potato,NCT of Delhi,Azadpur,1932,Tonnes,Potato,450,1188,825,Rs/Quintal
2005-10-07,Potato,NCT of Delhi,Azadpur,1766,Tonnes,Potato,438,1188,825,Rs/Quintal
2005-10-08,Potato,NCT of Delhi,Azadpur,2119,Tonnes,Potato,438,1188,825,Rs/Quintal
2005-10-10,Potato,NCT of Delhi,Azadpur,717,Tonnes,Potato,400,1188,825,Rs/Quintal
2005-10-11,Potato,NCT of Delhi,Azadpur,2127,Tonnes,Potato,400,1188,925,Rs/Quintal
2005-10-12,Potato,NCT of Delhi,Azadpur,1661,Tonnes,Potato,400,1156,906,Rs/Quintal
2005-10-14,Potato,NCT of Delhi,Azadpur,1376,Tonnes,Potato,400,1063,750,Rs/Quintal
2005-10-15,Potato,NCT of Delhi,Azadpur,1405,Tonnes,Potato,400,1000,938,Rs/Quintal
2005-10-17,Potato,NCT of Delhi,Azadpur,373,Tonnes,Potato,400,1000,675,Rs/Quintal
2005-10-18,Potato,NCT of Delhi,Azadpur,1405,Tonnes,Potato,400,1000,925,Rs/Quintal
2005-10-19,Potato,NCT of Delhi,Azadpur,1157,Tonnes,Potato,400,1000,656,Rs/Quintal
2005-10-20,Potato,NCT of Delhi,Azadpur,1339,Tonnes,Potato,400,1025,975,Rs/Quintal
2005-10-21,Potato,NCT of Delhi,Azadpur,1193,Tonnes,Potato,400,1000,750,Rs/Quintal
2005-10-22,Potato,NCT of Delhi,Azadpur,1246,Tonnes,Potato,400,1025,975,Rs/Quintal
2005-10-24,Potato,NCT of Delhi,Azadpur,481,Tonnes,Potato,400,1200,938,Rs/Quintal
2005-10-26,Potato,NCT of Delhi,Azadpur,1421,Tonnes,Potato,400,1063,925,Rs/Quintal
2005-10-27,Potato,NCT of Delhi,Azadpur,1504,Tonnes,Potato,425,1031,NULL,Rs/Quintal
2005-10-28,Potato,NCT of Delhi,Azadpur,1492,Tonnes,Potato,425,950,700,Rs/Quintal
2005-10-29,Potato,NCT of Delhi,Azadpur,1762,Tonnes,Potato,425,938,700,Rs/Quintal
2005-10-31,Potato,NCT of Delhi,Azadpur,382,Tonnes,Potato,425,938,700,Rs/Quintal
2005-11-01,Potato,NCT of Delhi,Azadpur,2020,Tonnes,Potato,425,938,700,Rs/Quintal
2005-11-03,Potato,NCT of Delhi,Azadpur,185,Tonnes,Potato,438,975,700,Rs/Quintal
2005-11-04,Potato,NCT of Delhi,Azadpur,1504,Tonnes,Potato,425,969,700,Rs/Quintal
2005-11-05,Potato,NCT of Delhi,Azadpur,1495,Tonnes,Potato,300,950,625,Rs/Quintal
2005-11-07,Potato,NCT of Delhi,Azadpur,153,Tonnes,Potato,438,1063,775,Rs/Quintal
2005-11-08,Potato,NCT of Delhi,Azadpur,1504,Tonnes,Potato,400,1050,775,Rs/Quintal
2005-11-09,Potato,NCT of Delhi,Azadpur,2465,Tonnes,Potato,400,1094,775,Rs/Quintal
2005-11-10,Potato,NCT of Delhi,Azadpur,2317,Tonnes,Potato,500,1250,750,Rs/Quintal
2005-11-11,Potato,NCT of Delhi,Azadpur,2127,Tonnes,Potato,350,1188,950,Rs/Quintal
2005-11-12,Potato,NCT of Delhi,Azadpur,2278,Tonnes,Potato,350,1200,750,Rs/Quintal
2005-11-14,Potato,NCT of Delhi,Azadpur,140,Tonnes,Potato,350,1250,813,Rs/Quintal
2005-11-15,Potato,NCT of Delhi,Azadpur,2648,Tonnes,Potato,563,1250,825,Rs/Quintal
2005-11-16,Potato,NCT of Delhi,Azadpur,1839,Tonnes,Potato,563,1200,763,Rs/Quintal
2005-11-17,Potato,NCT of Delhi,Azadpur,1884,Tonnes,Potato,563,1200,813,Rs/Quintal
2005-11-18,Potato,NCT of Delhi,Azadpur,1733,Tonnes,Potato,563,1250,800,Rs/Quintal
2005-11-19,Potato,NCT of Delhi,Azadpur,1857,Tonnes,Potato,500,1250,875,Rs/Quintal
2005-11-21,Potato,NCT of Delhi,Azadpur,413,Tonnes,Potato,500,1125,850,Rs/Quintal
2005-11-22,Potato,NCT of Delhi,Azadpur,2038,Tonnes,Potato,500,1188,913,Rs/Quintal
2005-11-23,Potato,NCT of Delhi,Azadpur,2227,Tonnes,Potato,531,1188,800,Rs/Quintal
